id,pollingfirm,date,n,source,letter,percentage
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,A,25.4
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,B,4.5
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,C,11.2
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,F,18.5
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,I,0.3
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,O,14.6
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,V,22.4
1,Megafon,2010-01-20,1089,https://www.megafon.dk/586/politiskindex,Ø,2.6
2,Gallup,2010-01-29,1450,,A,25
2,Gallup,2010-01-29,1450,,B,3.4
2,Gallup,2010-01-29,1450,,C,11.1
2,Gallup,2010-01-29,1450,,F,19.1
2,Gallup,2010-01-29,1450,,I,0.7
2,Gallup,2010-01-29,1450,,O,14.2
2,Gallup,2010-01-29,1450,,V,23.7
2,Gallup,2010-01-29,1450,,Ø,2.2
3,Greens,2010-02-03,1050,,A,26.2
3,Greens,2010-02-03,1050,,B,5.4
3,Greens,2010-02-03,1050,,C,9.6
3,Greens,2010-02-03,1050,,F,16.9
3,Greens,2010-02-03,1050,,I,1.1
3,Greens,2010-02-03,1050,,O,14.2
3,Greens,2010-02-03,1050,,V,24
3,Greens,2010-02-03,1050,,Ø,2.1
4,Rambøll,2010-02-11,1050,,A,26.6
4,Rambøll,2010-02-11,1050,,B,4.1
4,Rambøll,2010-02-11,1050,,C,9.7
4,Rambøll,2010-02-11,1050,,F,18.3
4,Rambøll,2010-02-11,1050,,I,0.5
4,Rambøll,2010-02-11,1050,,O,13.7
4,Rambøll,2010-02-11,1050,,V,23.7
4,Rambøll,2010-02-11,1050,,Ø,2.5
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,A,25.8
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,B,4.4
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,C,11.4
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,F,16.8
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,I,0.6
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,O,15.2
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,V,22.2
5,Megafon,2010-02-25,1000,https://www.megafon.dk/586/politiskindex,Ø,3.1
6,Gallup,2010-02-26,1450,,A,26.6
6,Gallup,2010-02-26,1450,,B,4.7
6,Gallup,2010-02-26,1450,,C,10.4
6,Gallup,2010-02-26,1450,,F,16.4
6,Gallup,2010-02-26,1450,,I,0.4
6,Gallup,2010-02-26,1450,,O,13.7
6,Gallup,2010-02-26,1450,,V,24.9
6,Gallup,2010-02-26,1450,,Ø,2.3
7,Greens,2010-03-03,1050,,A,28.4
7,Greens,2010-03-03,1050,,B,5
7,Greens,2010-03-03,1050,,C,11
7,Greens,2010-03-03,1050,,F,14.7
7,Greens,2010-03-03,1050,,I,0.4
7,Greens,2010-03-03,1050,,O,11.7
7,Greens,2010-03-03,1050,,V,25.5
7,Greens,2010-03-03,1050,,Ø,2.7
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,A,25.8
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,B,5.1
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,C,11.2
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,F,18.1
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,I,1.2
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,O,13
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,V,22.2
9,Megafon,2010-03-24,1089,https://www.megafon.dk/586/politiskindex,Ø,2.5
11,Rambøll,2010-03-30,1050,,A,27.4
11,Rambøll,2010-03-30,1050,,B,4.5
11,Rambøll,2010-03-30,1050,,C,8.8
11,Rambøll,2010-03-30,1050,,F,16.1
11,Rambøll,2010-03-30,1050,,I,0.9
11,Rambøll,2010-03-30,1050,,O,13.4
11,Rambøll,2010-03-30,1050,,V,25.4
11,Rambøll,2010-03-30,1050,,Ø,2.8
12,YouGov,2010-04-12,1050,,A,28.1
12,YouGov,2010-04-12,1050,,B,4.4
12,YouGov,2010-04-12,1050,,C,9.4
12,YouGov,2010-04-12,1050,,F,17.5
12,YouGov,2010-04-12,1050,,I,2.3
12,YouGov,2010-04-12,1050,,O,15.4
12,YouGov,2010-04-12,1050,,V,19.2
12,YouGov,2010-04-12,1050,,Ø,3.4
13,Greens,2010-04-14,988,,A,28.5
13,Greens,2010-04-14,988,,B,6.1
13,Greens,2010-04-14,988,,C,9.6
13,Greens,2010-04-14,988,,F,16.4
13,Greens,2010-04-14,988,,I,0.4
13,Greens,2010-04-14,988,,O,15.2
13,Greens,2010-04-14,988,,V,21
13,Greens,2010-04-14,988,,Ø,2.2
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,A,25.7
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,B,4.6
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,C,8.5
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,F,16.9
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,I,2.6
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,O,14.3
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,V,23.1
14,Megafon,2010-04-22,1089,https://www.megafon.dk/586/politiskindex,Ø,3.7
16,Greens,2010-05-05,1004,,A,26.6
16,Greens,2010-05-05,1004,,B,5.2
16,Greens,2010-05-05,1004,,C,9.6
16,Greens,2010-05-05,1004,,F,19.2
16,Greens,2010-05-05,1004,,I,2.3
16,Greens,2010-05-05,1004,,O,12.5
16,Greens,2010-05-05,1004,,V,21.7
16,Greens,2010-05-05,1004,,Ø,2.5
17,Rambøll,2010-05-06,1000,,A,27.4
17,Rambøll,2010-05-06,1000,,B,4.7
17,Rambøll,2010-05-06,1000,,C,9
17,Rambøll,2010-05-06,1000,,F,19.4
17,Rambøll,2010-05-06,1000,,I,2.7
17,Rambøll,2010-05-06,1000,,O,12
17,Rambøll,2010-05-06,1000,,V,21.9
17,Rambøll,2010-05-06,1000,,Ø,2.1
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,A,31.5
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,B,4.7
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,C,7.8
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,F,16.7
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,I,1.8
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,O,11.9
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,V,22.1
18,Megafon,2010-05-26,1008,https://www.megafon.dk/586/politiskindex,Ø,2.7
19,Gallup,2010-05-28,1450,,A,27.1
19,Gallup,2010-05-28,1450,,B,4.4
19,Gallup,2010-05-28,1450,,C,8.4
19,Gallup,2010-05-28,1450,,F,17
19,Gallup,2010-05-28,1450,,I,3.8
19,Gallup,2010-05-28,1450,,O,12.8
19,Gallup,2010-05-28,1450,,V,22.9
19,Gallup,2010-05-28,1450,,Ø,2.7
20,Greens,2010-06-02,1079,,A,30.3
20,Greens,2010-06-02,1079,,B,4.8
20,Greens,2010-06-02,1079,,C,7.3
20,Greens,2010-06-02,1079,,F,19.4
20,Greens,2010-06-02,1079,,I,3.1
20,Greens,2010-06-02,1079,,O,10.7
20,Greens,2010-06-02,1079,,V,21.4
20,Greens,2010-06-02,1079,,Ø,2.7
21,Rambøll,2010-06-10,1050,,A,29.3
21,Rambøll,2010-06-10,1050,,B,5
21,Rambøll,2010-06-10,1050,,C,8
21,Rambøll,2010-06-10,1050,,F,17.7
21,Rambøll,2010-06-10,1050,,I,2.1
21,Rambøll,2010-06-10,1050,,O,12.6
21,Rambøll,2010-06-10,1050,,V,22
21,Rambøll,2010-06-10,1050,,Ø,2.6
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,A,26.7
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,B,5.7
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,C,6.8
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,F,17.3
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,I,4.5
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,O,13.3
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,V,21.5
23,Megafon,2010-06-24,1089,https://www.megafon.dk/586/politiskindex,Ø,3.7
24,YouGov,2010-07-03,1050,,A,27.3
24,YouGov,2010-07-03,1050,,B,4.1
24,YouGov,2010-07-03,1050,,C,6.7
24,YouGov,2010-07-03,1050,,F,18.5
24,YouGov,2010-07-03,1050,,I,6.1
24,YouGov,2010-07-03,1050,,O,14.4
24,YouGov,2010-07-03,1050,,V,19.2
24,YouGov,2010-07-03,1050,,Ø,3.1
26,Greens,2010-08-05,1079,,A,26.5
26,Greens,2010-08-05,1079,,B,5.4
26,Greens,2010-08-05,1079,,C,7.4
26,Greens,2010-08-05,1079,,F,16.5
26,Greens,2010-08-05,1079,,I,3.5
26,Greens,2010-08-05,1079,,O,14.4
26,Greens,2010-08-05,1079,,V,22.8
26,Greens,2010-08-05,1079,,Ø,2.5
27,YouGov,2010-08-09,1050,,A,23.3
27,YouGov,2010-08-09,1050,,B,4
27,YouGov,2010-08-09,1050,,C,7.2
27,YouGov,2010-08-09,1050,,F,19.4
27,YouGov,2010-08-09,1050,,I,6
27,YouGov,2010-08-09,1050,,O,16.3
27,YouGov,2010-08-09,1050,,V,20.2
27,YouGov,2010-08-09,1050,,Ø,3
28,Rambøll,2010-08-12,1000,,A,24.7
28,Rambøll,2010-08-12,1000,,B,5.1
28,Rambøll,2010-08-12,1000,,C,6.6
28,Rambøll,2010-08-12,1000,,F,16.8
28,Rambøll,2010-08-12,1000,,I,4.5
28,Rambøll,2010-08-12,1000,,O,15
28,Rambøll,2010-08-12,1000,,V,23.5
28,Rambøll,2010-08-12,1000,,Ø,2.5
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,A,25.8
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,B,5.4
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,C,6.8
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,F,17.4
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,I,3.8
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,O,13.4
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,V,24.2
29,Megafon,2010-08-25,1089,https://www.megafon.dk/586/politiskindex,Ø,3
30,Gallup,2010-08-26,1450,,A,25.4
30,Gallup,2010-08-26,1450,,B,4
30,Gallup,2010-08-26,1450,,C,7
30,Gallup,2010-08-26,1450,,F,19.4
30,Gallup,2010-08-26,1450,,I,3.8
30,Gallup,2010-08-26,1450,,O,13.1
30,Gallup,2010-08-26,1450,,V,24.1
30,Gallup,2010-08-26,1450,,Ø,2.6
31,Rambøll,2010-09-10,1050,,A,25.4
31,Rambøll,2010-09-10,1050,,B,5.4
31,Rambøll,2010-09-10,1050,,C,6.7
31,Rambøll,2010-09-10,1050,,F,16.9
31,Rambøll,2010-09-10,1050,,I,4.7
31,Rambøll,2010-09-10,1050,,O,15.6
31,Rambøll,2010-09-10,1050,,V,21.3
31,Rambøll,2010-09-10,1050,,Ø,2.5
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,A,25
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,B,4.7
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,C,6.2
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,F,16.1
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,I,5.4
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,O,16.9
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,V,21.8
33,Megafon,2010-09-23,1089,https://www.megafon.dk/586/politiskindex,Ø,2.9
34,Greens,2010-09-29,1151,,A,29.9
34,Greens,2010-09-29,1151,,B,5.5
34,Greens,2010-09-29,1151,,C,6.6
34,Greens,2010-09-29,1151,,F,15
34,Greens,2010-09-29,1151,,I,5.3
34,Greens,2010-09-29,1151,,O,14.5
34,Greens,2010-09-29,1151,,V,19.6
34,Greens,2010-09-29,1151,,Ø,2.8
35,YouGov,2010-10-04,1050,,A,27.2
35,YouGov,2010-10-04,1050,,B,4.6
35,YouGov,2010-10-04,1050,,C,6.1
35,YouGov,2010-10-04,1050,,F,16.5
35,YouGov,2010-10-04,1050,,I,7.4
35,YouGov,2010-10-04,1050,,O,15.5
35,YouGov,2010-10-04,1050,,V,18.5
35,YouGov,2010-10-04,1050,,Ø,3.3
36,Rambøll,2010-10-07,1050,,A,27
36,Rambøll,2010-10-07,1050,,B,5
36,Rambøll,2010-10-07,1050,,C,6.7
36,Rambøll,2010-10-07,1050,,F,16.1
36,Rambøll,2010-10-07,1050,,I,5.2
36,Rambøll,2010-10-07,1050,,O,13.4
36,Rambøll,2010-10-07,1050,,V,22.2
36,Rambøll,2010-10-07,1050,,Ø,2.3
37,Voxmeter,2010-10-09,1050,,A,29.2
37,Voxmeter,2010-10-09,1050,,B,4.5
37,Voxmeter,2010-10-09,1050,,C,6.5
37,Voxmeter,2010-10-09,1050,,F,14.8
37,Voxmeter,2010-10-09,1050,,I,6.1
37,Voxmeter,2010-10-09,1050,,O,13.9
37,Voxmeter,2010-10-09,1050,,V,22.4
37,Voxmeter,2010-10-09,1050,,Ø,2.2
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,A,27.8
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,B,6.4
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,C,7.3
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,F,16.7
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,I,4.1
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,O,13.4
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,V,21.8
38,Megafon,2010-10-27,1089,https://www.megafon.dk/586/politiskindex,Ø,2.4
39,Gallup,2010-10-28,1450,,A,27.2
39,Gallup,2010-10-28,1450,,B,5.3
39,Gallup,2010-10-28,1450,,C,6.3
39,Gallup,2010-10-28,1450,,F,15.9
39,Gallup,2010-10-28,1450,,I,4.6
39,Gallup,2010-10-28,1450,,O,13.7
39,Gallup,2010-10-28,1450,,V,23.1
39,Gallup,2010-10-28,1450,,Ø,3.2
40,Greens,2010-11-03,974,,A,27.1
40,Greens,2010-11-03,974,,B,4.3
40,Greens,2010-11-03,974,,C,7.3
40,Greens,2010-11-03,974,,F,15.7
40,Greens,2010-11-03,974,,I,6.5
40,Greens,2010-11-03,974,,O,14.3
40,Greens,2010-11-03,974,,V,20.8
40,Greens,2010-11-03,974,,Ø,3
41,Gallup,2010-11-12,1450,,A,26.3
41,Gallup,2010-11-12,1450,,B,4.5
41,Gallup,2010-11-12,1450,,C,5.9
41,Gallup,2010-11-12,1450,,F,15.6
41,Gallup,2010-11-12,1450,,I,6.1
41,Gallup,2010-11-12,1450,,O,14.2
41,Gallup,2010-11-12,1450,,V,24
41,Gallup,2010-11-12,1450,,Ø,2.4
42,Epinion,2010-11-24,1020,,A,28.9
42,Epinion,2010-11-24,1020,,B,5.2
42,Epinion,2010-11-24,1020,,C,5.9
42,Epinion,2010-11-24,1020,,F,16
42,Epinion,2010-11-24,1020,,I,6
42,Epinion,2010-11-24,1020,,O,13.5
42,Epinion,2010-11-24,1020,,V,20.4
